,0,1,2,3,4,5,int_token,str_token
10,JORFTEXT000048734585,JORFARTI000048734587,1,2,2,"Un décret en Conseil d'Etat précise les modalités d'application du présent article, notamment les conditions d'ancienneté requise dans l'exercice des fonctions liées au secrétariat de mairie.","[1193, 70, 19, 357, 16, 4, 101, 2423, 25, 560, 16, 4, 197, 6, 47, 8, 40, 5, 953, 25, 151, 16, 4, 4810, 3453, 18, 43, 9, 4, 210, 13, 154, 2554, 10, 20, 1207, 3, 3260, 11]","['▁Un', '▁décret', '▁en', '▁Conseil', '▁d', ""'"", 'Etat', '▁précise', '▁les', '▁modalités', '▁d', ""'"", 'application', '▁du', '▁présent', '▁', 'article', ',', '▁notamment', '▁les', '▁conditions', '▁d', ""'"", 'ancienneté', '▁requis', 'e', '▁dans', '▁l', ""'"", 'exercice', '▁des', '▁fonctions', '▁liée', 's', '▁au', '▁secrétariat', '▁de', '▁mairie', '.']"
11,JORFTEXT000048734585,JORFARTI000048734588,1,3,1,"Outre les modalités de promotion interne mentionnées à l'article L. 523-1 du code général de la fonction publique, les statuts particuliers des cadres d'emplois de la catégorie B peuvent prévoir l'établissement d'une liste d'aptitude ouverte aux fonctionnaires de catégorie C relevant des grades d'avancement de leur cadre d'emplois respectif et ayant validé un examen professionnel sanctionnant une formation qualifiante aux fins d'exercer les fonctions de secrétaire général de mairie, sans qu'une proportion de postes ouverts à la promotion soit préalablement déterminée. La nature de cette formation, les modalités d'organisation de cet examen professionnel ainsi que la nature des épreuves sont précisées par décret.","[3342, 1402, 25, 560, 3, 899, 628, 687, 14, 9, 4, 40, 39, 11, 8, 932, 1261, 6, 68, 93, 3, 7, 401, 220, 5, 25, 1551, 1280, 10, 13, 550, 16, 4, 1701, 3, 7, 1161, 94, 470, 4424, 83, 9, 4, 717, 16, 4, 56, 136, 16, 4, 1148, 1143, 18, 51, 931, 3, 1161, 115, 629, 13, 261, 10, 16, 4, 1907, 3, 257, 285, 16, 4, 1701, 664, 1316, 12, 672, 4799, 99, 8, 589, 396, 4733, 128, 92, 8, 56, 293, 348, 1005, 324, 212, 92, 18, 51, 352, 10, 16, 4, 1672, 25, 154, 3, 400, 93, 3, 3260, 5, 8, 995, 348, 4, 56, 4542, 3, 383, 1228, 14, 7, 899, 1307, 3616, 1494, 527, 11, 80, 1720, 3, 8, 326, 293, 5, 25, 560, 16, 4, 796, 3, 1746, 8, 589, 396, 8, 141, 171, 7, 1720, 13, 758, 52, 645, 580, 10, 533, 36, 70, 11]","['▁Ou', 'tre', '▁les', '▁modalités', '▁de', '▁promotion', '▁interne', '▁mentionnées', '▁à', '▁l', ""'"", 'article', '▁L', '.', '▁', '52', '3-1', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', ',', '▁les', '▁statuts', '▁particulier', 's', '▁des', '▁cadres', '▁d', ""'"", 'emplois', '▁de', '▁la', '▁catégorie', '▁B', '▁peuvent', '▁prévoi', 'r', '▁l', ""'"", 'établissement', '▁d', ""'"", 'une', '▁liste', '▁d', ""'"", 'aptitude', '▁ouvert', 'e', '▁aux', '▁fonctionnaires', '▁de', '▁catégorie', '▁C', '▁relevant', '▁des', '▁grade', 's', '▁d', ""'"", 'avancement', '▁de', '▁leur', '▁cadre', '▁d', ""'"", 'emplois', '▁respect', 'if', '▁et', '▁ayant', '▁validé', '▁un', '▁', 'examen', '▁professionnel', '▁sanction', 'n', 'ant', '▁', 'une', '▁formation', '▁qu', 'ali', 'f', 'i', 'ant', 'e', '▁aux', '▁fin', 's', '▁d', ""'"", 'exercer', '▁les', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', ',', '▁', 'sans', '▁qu', ""'"", 'une', '▁proportion', '▁de', '▁postes', '▁ouverts', '▁à', '▁la', '▁promotion', '▁soit', '▁préalablement', '▁détermin', 'ée', '.', '▁La', '▁nature', '▁de', '▁', 'cette', '▁formation', ',', '▁les', '▁modalités', '▁d', ""'"", 'organisation', '▁de', '▁cet', '▁', 'examen', '▁professionnel', '▁', 'ainsi', '▁que', '▁la', '▁nature', '▁des', '▁épreuves', '▁sont', '▁pré', 'ci', 's', 'ées', '▁par', '▁décret', '.']"
12,JORFTEXT000048734585,JORFARTI000048734588,1,3,2,L'inscription sur la liste d'aptitude prévue au premier alinéa du présent article permet d'être nommé dans l'un des cadres d'emplois de la catégorie B mentionnés au même premier alinéa pour exercer uniquement les fonctions de secrétaire général de mairie. Un décret précise la durée minimale d'exercice de ces fonctions.,"[39, 4, 742, 72, 7, 136, 16, 4, 1148, 475, 20, 346, 193, 6, 47, 8, 40, 3085, 16, 4, 1983, 188, 43, 9, 4, 74, 13, 550, 16, 4, 1701, 3, 7, 1161, 94, 524, 20, 249, 346, 193, 37, 363, 3045, 25, 154, 3, 400, 93, 3, 3260, 11, 1193, 70, 2423, 7, 144, 2591, 16, 4, 210, 3, 697, 154, 11]","['▁L', ""'"", 'inscription', '▁sur', '▁la', '▁liste', '▁d', ""'"", 'aptitude', '▁prévue', '▁au', '▁premier', '▁alinéa', '▁du', '▁présent', '▁', 'article', '▁permet', '▁d', ""'"", 'être', '▁nommé', '▁dans', '▁l', ""'"", 'un', '▁des', '▁cadres', '▁d', ""'"", 'emplois', '▁de', '▁la', '▁catégorie', '▁B', '▁mentionnés', '▁au', '▁même', '▁premier', '▁alinéa', '▁pour', '▁exercer', '▁uniquement', '▁les', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '.', '▁Un', '▁décret', '▁précise', '▁la', '▁durée', '▁minimale', '▁d', ""'"", 'exercice', '▁de', '▁ces', '▁fonctions', '.']"
13,JORFTEXT000048734585,JORFARTI000048734589,1,4,1,L'article L. 452-38 du code général de la fonction publique est complété par un 13° ainsi rédigé :,"[39, 4, 40, 39, 11, 1835, 2089, 146, 6, 68, 93, 3, 7, 401, 220, 23, 984, 36, 99, 224, 69, 8, 141, 639, 27]","['▁L', ""'"", 'article', '▁L', '.', '▁45', '2-3', '8', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', '▁est', '▁complété', '▁par', '▁un', '▁13', '°', '▁', 'ainsi', '▁rédigé', '▁:']"
14,JORFTEXT000048734585,JORFARTI000048734589,1,4,2,"« 13° L'animation du réseau des secrétaires généraux de mairie dans leur ressort territorial, sans préjudice des autres dispositifs en ce sens animés par d'autres acteurs locaux. »","[32, 224, 69, 39, 4, 3693, 6, 2204, 13, 400, 10, 1418, 3, 3260, 43, 257, 3944, 719, 5, 8, 995, 3302, 13, 1036, 2258, 19, 156, 2035, 1054, 624, 405, 36, 16, 4, 1871, 4092, 2285, 11, 45]","['▁«', '▁13', '°', '▁L', ""'"", 'animation', '▁du', '▁réseau', '▁des', '▁secrétaire', 's', '▁généraux', '▁de', '▁mairie', '▁dans', '▁leur', '▁ressort', '▁territorial', ',', '▁', 'sans', '▁préjudice', '▁des', '▁autres', '▁dispositifs', '▁en', '▁ce', '▁sens', '▁an', 'im', 'és', '▁par', '▁d', ""'"", 'autres', '▁acteurs', '▁locaux', '.', '▁»']"
15,JORFTEXT000048734585,JORFARTI000048734590,1,5,1,Le code général de la fonction publique est ainsi modifié :,"[49, 68, 93, 3, 7, 401, 220, 23, 8, 141, 213, 27]","['▁Le', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', '▁est', '▁', 'ainsi', '▁modifié', '▁:']"
16,JORFTEXT000048734585,JORFARTI000048734590,1,5,2,1° La sous-section 2 de la section 3 du chapitre II du titre II du livre IV est complétée par un article L. 422-34-1 ainsi rédigé :,"[292, 80, 142, 17, 1658, 111, 3, 7, 254, 126, 6, 799, 308, 6, 97, 308, 6, 1522, 392, 23, 984, 18, 36, 99, 8, 40, 39, 11, 8, 901, 2089, 1404, 8, 141, 639, 27]","['▁1°', '▁La', '▁sous', '-', 'section', '▁2', '▁de', '▁la', '▁section', '▁3', '▁du', '▁chapitre', '▁II', '▁du', '▁titre', '▁II', '▁du', '▁livre', '▁IV', '▁est', '▁complété', 'e', '▁par', '▁un', '▁', 'article', '▁L', '.', '▁', '42', '2-3', '4-1', '▁', 'ainsi', '▁rédigé', '▁:']"
17,JORFTEXT000048734585,JORFARTI000048734590,1,5,3,"« Art. L. 422-34-1. — Outre la formation initiale dont ils bénéficient en application du statut particulier dont ils relèvent, les agents qui occupent un emploi de secrétaire général de mairie reçoivent, dans un délai d'un an à compter de leur prise de poste, une formation adaptée aux besoins de la collectivité concernée. » ;","[32, 602, 11, 39, 11, 8, 901, 2089, 1404, 11, 8, 61, 3342, 1402, 7, 293, 3128, 16, 71, 479, 10, 3537, 242, 19, 181, 6, 1192, 1280, 16, 71, 479, 10, 3108, 242, 5, 25, 592, 58, 8, 1222, 185, 1687, 342, 99, 504, 3, 400, 93, 3, 3260, 540, 4854, 5, 43, 99, 864, 16, 4, 74, 1054, 14, 64, 28, 3, 257, 496, 3, 855, 5, 8, 56, 293, 3193, 18, 51, 2696, 10, 3, 7, 3619, 2386, 18, 11, 45, 46]","['▁«', '▁Art', '.', '▁L', '.', '▁', '42', '2-3', '4-1', '.', '▁', '—', '▁Ou', 'tre', '▁la', '▁formation', '▁initiale', '▁d', 'ont', '▁il', 's', '▁bénéficie', 'nt', '▁en', '▁application', '▁du', '▁statut', '▁particulier', '▁d', 'ont', '▁il', 's', '▁relève', 'nt', ',', '▁les', '▁agents', '▁qui', '▁', 'oc', 'c', 'up', 'ent', '▁un', '▁emploi', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁re', 'çoivent', ',', '▁dans', '▁un', '▁délai', '▁d', ""'"", 'un', '▁an', '▁à', '▁compt', 'er', '▁de', '▁leur', '▁prise', '▁de', '▁poste', ',', '▁', 'une', '▁formation', '▁adapté', 'e', '▁aux', '▁besoin', 's', '▁de', '▁la', '▁collectivité', '▁concerné', 'e', '.', '▁»', '▁;']"
18,JORFTEXT000048734585,JORFARTI000048734590,1,5,4,"2° Avant le dernier alinéa de l'article L. 451-6, il est inséré un alinéa ainsi rédigé :","[328, 82, 2006, 22, 942, 193, 3, 9, 4, 40, 39, 11, 1835, 3913, 5, 479, 23, 1120, 99, 193, 8, 141, 639, 27]","['▁2°', '▁A', 'vant', '▁le', '▁dernier', '▁alinéa', '▁de', '▁l', ""'"", 'article', '▁L', '.', '▁45', '1-6', ',', '▁il', '▁est', '▁inséré', '▁un', '▁alinéa', '▁', 'ainsi', '▁rédigé', '▁:']"
19,JORFTEXT000048734585,JORFARTI000048734590,1,5,5,« Il définit et assure la formation des agents publics occupant un emploi de secrétaire général de mairie dans les conditions prévues à l'article L. 422-34-1. »,"[32, 314, 2069, 124, 12, 3030, 7, 293, 13, 592, 130, 2928, 99, 504, 3, 400, 93, 3, 3260, 43, 25, 151, 298, 14, 9, 4, 40, 39, 11, 8, 901, 2089, 1404, 11, 45]","['▁«', '▁Il', '▁défini', 't', '▁et', '▁assure', '▁la', '▁formation', '▁des', '▁agents', '▁publics', '▁occupant', '▁un', '▁emploi', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁dans', '▁les', '▁conditions', '▁prévues', '▁à', '▁l', ""'"", 'article', '▁L', '.', '▁', '42', '2-3', '4-1', '.', '▁»']"
20,JORFTEXT000048734585,JORFARTI000048734591,1,6,1,"Dans un délai d'un an à compter de la promulgation de la présente loi, le Gouvernement remet au Parlement un rapport évaluant les formations supérieures préparant au métier de secrétaire de mairie. Ce rapport évalue également la pertinence de la création, au niveau national, d'une filière permettant l'obtention d'un diplôme national d'enseignement supérieur préparant au métier de secrétaire général de mairie.","[817, 99, 864, 16, 4, 74, 1054, 14, 64, 28, 3, 7, 2479, 149, 204, 166, 3, 7, 1656, 373, 5, 22, 1354, 540, 1738, 20, 3197, 99, 1647, 8, 81, 1101, 202, 92, 25, 293, 10, 767, 10, 645, 1428, 92, 20, 2664, 1025, 3, 400, 3, 3260, 11, 1836, 1647, 8, 81, 1101, 1274, 1256, 7, 409, 28, 124, 280, 1159, 3, 7, 888, 5, 20, 843, 194, 5, 16, 4, 56, 2290, 1238, 9, 4, 2435, 16, 4, 74, 935, 194, 16, 4, 318, 252, 645, 1428, 92, 20, 2664, 1025, 3, 400, 93, 3, 3260, 11]","['▁Dans', '▁un', '▁délai', '▁d', ""'"", 'un', '▁an', '▁à', '▁compt', 'er', '▁de', '▁la', '▁promu', 'l', 'g', 'ation', '▁de', '▁la', '▁présente', '▁loi', ',', '▁le', '▁Gouvernement', '▁re', 'met', '▁au', '▁Parlement', '▁un', '▁rapport', '▁', 'é', 'val', 'u', 'ant', '▁les', '▁formation', 's', '▁supérieure', 's', '▁pré', 'par', 'ant', '▁au', '▁mét', 'ier', '▁de', '▁secrétaire', '▁de', '▁mairie', '.', '▁Ce', '▁rapport', '▁', 'é', 'val', 'ue', '▁également', '▁la', '▁p', 'er', 't', 'in', 'ence', '▁de', '▁la', '▁création', ',', '▁au', '▁niveau', '▁national', ',', '▁d', ""'"", 'une', '▁filière', '▁permettant', '▁l', ""'"", 'obtention', '▁d', ""'"", 'un', '▁diplôme', '▁national', '▁d', ""'"", 'enseignement', '▁supérieur', '▁pré', 'par', 'ant', '▁au', '▁mét', 'ier', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '.']"
21,JORFTEXT000048734585,JORFARTI000048734592,1,7,1,"Le 2° de l'article L. 523-5 du code général de la fonction publique est complété par une phrase ainsi rédigée : « Celui-ci veille à ce que les listes d'aptitude comprennent une part, fixée par décret, de fonctionnaires exerçant les fonctions de secrétaire général de mairie. »","[49, 328, 3, 9, 4, 40, 39, 11, 8, 932, 3156, 6, 68, 93, 3, 7, 401, 220, 23, 984, 36, 8, 56, 1355, 8, 141, 2593, 27, 32, 1836, 1652, 212, 17, 580, 3951, 14, 156, 171, 25, 136, 10, 16, 4, 1148, 3886, 2981, 8, 56, 858, 5, 752, 36, 70, 5, 3, 931, 1363, 25, 154, 3, 400, 93, 3, 3260, 11, 45]","['▁Le', '▁2°', '▁de', '▁l', ""'"", 'article', '▁L', '.', '▁', '52', '3-5', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', '▁est', '▁complété', '▁par', '▁', 'une', '▁phrase', '▁', 'ainsi', '▁rédigée', '▁:', '▁«', '▁Ce', 'lu', 'i', '-', 'ci', '▁veille', '▁à', '▁ce', '▁que', '▁les', '▁liste', 's', '▁d', ""'"", 'aptitude', '▁compren', 'nent', '▁', 'une', '▁part', ',', '▁fixée', '▁par', '▁décret', ',', '▁de', '▁fonctionnaires', '▁exerçant', '▁les', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '.', '▁»']"
22,JORFTEXT000048734585,JORFARTI000048734593,1,8,1,Les agents exerçant les fonctions de secrétaire général de mairie bénéficient d'un avantage spécifique d'ancienneté pour le calcul de l'ancienneté requise au titre de l'avancement d'échelon.,"[96, 592, 1363, 25, 154, 3, 400, 93, 3, 3260, 3537, 242, 16, 4, 74, 1135, 532, 2704, 16, 4, 4810, 37, 22, 1825, 3, 9, 4, 4810, 3453, 18, 20, 97, 3, 9, 4, 1907, 16, 4, 2250, 1055, 11]","['▁Les', '▁agents', '▁exerçant', '▁les', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁bénéficie', 'nt', '▁d', ""'"", 'un', '▁avant', 'age', '▁spécifique', '▁d', ""'"", 'ancienneté', '▁pour', '▁le', '▁calcul', '▁de', '▁l', ""'"", 'ancienneté', '▁requis', 'e', '▁au', '▁titre', '▁de', '▁l', ""'"", 'avancement', '▁d', ""'"", 'éch', 'elon', '.']"
23,JORFTEXT000048734585,JORFARTI000048734594,1,9,1,L'article L. 332-8 du code général de la fonction publique est complété par un 7° ainsi rédigé :,"[39, 4, 40, 39, 11, 126, 1111, 17, 146, 6, 68, 93, 3, 7, 401, 220, 23, 984, 36, 99, 2637, 8, 141, 639, 27]","['▁L', ""'"", 'article', '▁L', '.', '▁3', '32', '-', '8', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', '▁est', '▁complété', '▁par', '▁un', '▁7°', '▁', 'ainsi', '▁rédigé', '▁:']"
